Fecha,Horas,Ganancias,viajes
10-jul,3.60,654.64,6
11-jul,3.67,600.63,7
12-jul,6.37,1112.09,7
13-jul,2.32,301.4,9
14-jul,5.57,756.39,10
15-jul,2.85,383.5,10
16-jul,5.33,1326,10
22-jul,4.37,773.38,6
23-jul,6.87,1246.96,13
24-jul,6.20,1025.52,10
25-jul,1.35,327.98,10
26-jul,8.23,1110.81,11
27-jul,6.03,1017.36,11
28-jul,6.43,1163.15,8
29-jul,2.57,531.31,10
30-jul,0.90,249.46,6
31-jul,8.70,1652.99,17
01-ago,8.93,1244.33,17
02-ago,6.10,1041.76,7
03-ago,5.23,1041.12,14
04-ago,6.87,1250.78,11
05-ago,6.27,1117.7,11
06-ago,6.97,1253.65,11
07-ago,10.80,1678.62,16
08-ago,10.95,1768.12,16
09-ago,6.90,1018.33,10
10-ago,7.03,1067.65,14
11-ago,6.03,854.47,9
12-ago,2.60,551.07,5
13-ago,7.70,1569.11,13
14-ago,7.82,1635.44,13
16-ago,2.50,597.86,5
17-ago,7.40,1308.72,9
18-ago,10.17,1597.42,17
19-ago,6.43,1388.05,14
20-ago,12.27,2152.66,10
21-ago,10.20,1796.51,12
22-ago,10.32,1679.99,11
23-ago,8.77,1336.77,11
24-ago,4.90,925.63,14
25-ago,8.13,1292.92,6
26-ago,3.07,584.44,6
27-ago,4.17,773.24,7